province,country
Sicily & Sardinia,Italy
Douro,Portugal
Oregon,US
Michigan,US
Oregon,US
Northern Spain,Spain
Sicily & Sardinia,Italy
Alsace,France
Rheinhessen,Germany
Alsace,France
California,US
Alsace,France
California,US
Sicily & Sardinia,Italy
California,US
Mosel,Germany
Other,Argentina
Mendoza Province,Argentina
Northern Spain,Spain
Virginia,US
Virginia,US
Oregon,US
Sicily & Sardinia,Italy
California,US
Sicily & Sardinia,Italy
California,US
Sicily & Sardinia,Italy
Sicily & Sardinia,Italy
Sicily & Sardinia,Italy
California,US
Beaujolais,France
Sicily & Sardinia,Italy
Sicily & Sardinia,Italy
California,US
California,US
Oregon,US
Colchagua Valley,Chile
Sicily & Sardinia,Italy
Southern Italy,Italy
Sicily & Sardinia,Italy
Sicily & Sardinia,Italy
Oregon,US
Beaujolais,France
California,US
Maule Valley,Chile
Virginia,US
Sicily & Sardinia,Italy
California,US
Virginia,US
Beaujolais,France
Sicily & Sardinia,Italy
Colchagua Valley,Chile
Sicily & Sardinia,Italy
Bordeaux,France
Sicily & Sardinia,Italy
California,US
California,US
Sicily & Sardinia,Italy
Maipo Valley,Chile
Washington,US
California,US
Central Italy,Italy
Washington,US
Champagne,France
California,US
Burgundy,France
Burgundy,France
Washington,US
California,US
Champagne,France
Washington,US
California,US
Southern Italy,Italy
California,US
California,US
California,US
Rheinhessen,Germany
South Australia,Australia
Oregon,US
Tejo,Portugal
Rapel Valley,Chile
Galicia,Spain
France Other,France
South Australia,Australia
California,US
Rheinhessen,Germany
Washington,US
California,US
Tuscany,Italy
Tuscany,Italy
California,US
California,US
California,US
Burgenland,Austria
Washington,US
Beaujolais,France
Beaujolais,France
New York,US
Tuscany,Italy
California,US
New York,US
New York,US
New York,US
Leyda Valley,Chile
Tuscany,Italy
Tuscany,Italy
Tuscany,Italy
Tuscany,Italy
California,US
Tuscany,Italy
Beaujolais,France
California,US
Tuscany,Italy
Tuscany,Italy
California,US
California,US
California,US
California,US
Tuscany,Italy
Alsace,France
Piedmont,Italy
California,US
California,US
South Australia,Australia
California,US
Stellenbosch,South Africa
Alsace,France
Alsace,France
Alsace,France
Stellenbosch,South Africa
Piedmont,Italy
Alsace,France
Simonsberg-Stellenbosch,South Africa
Piedmont,Italy
California,US
Piedmont,Italy
Bordeaux,France
Walker Bay,South Africa
Alsace,France
Alsace,France
Piedmont,Italy
Piedmont,Italy
California,US
Alsace,France
California,US
California,US
California,US
California,US
Rheinhessen,Germany
California,US
California,US
Alentejano,Portugal
California,US
California,US
Central Spain,Spain
California,US
Mosel,Germany
Alentejano,Portugal
Tuscany,Italy
Tuscany,Italy
Southwest France,France
California,US
California,US
Beaujolais,France
Aconcagua Valley,Chile
Maipo Valley,Chile
Southwest France,France
California,US
California,US
California,US
Mosel,Germany
Mosel,Germany
Loncomilla Valley,Chile
Oregon,US
Marlborough,New Zealand
