region_1,province
Etna,Sicily & Sardinia
,Douro
Willamette Valley,Oregon
Lake Michigan Shore,Michigan
Willamette Valley,Oregon
Navarra,Northern Spain
Vittoria,Sicily & Sardinia
Alsace,Alsace
,Rheinhessen
Alsace,Alsace
Napa Valley,California
Alsace,Alsace
Alexander Valley,California
Etna,Sicily & Sardinia
Central Coast,California
,Mosel
Cafayate,Other
Mendoza,Mendoza Province
Ribera del Duero,Northern Spain
Virginia,Virginia
Virginia,Virginia
Oregon,Oregon
Sicilia,Sicily & Sardinia
Paso Robles,California
Sicilia,Sicily & Sardinia
Sonoma Coast,California
Terre Siciliane,Sicily & Sardinia
Terre Siciliane,Sicily & Sardinia
Cerasuolo di Vittoria,Sicily & Sardinia
Clarksburg,California
Beaujolais-Villages,Beaujolais
Sicilia,Sicily & Sardinia
Sicilia,Sicily & Sardinia
Dry Creek Valley,California
Sonoma Valley,California
McMinnville,Oregon
,Colchagua Valley
Sicilia,Sicily & Sardinia
Puglia,Southern Italy
Sicilia,Sicily & Sardinia
Sicilia,Sicily & Sardinia
Willamette Valley,Oregon
Beaujolais,Beaujolais
Paso Robles,California
,Maule Valley
Virginia,Virginia
Sicilia,Sicily & Sardinia
Lake County,California
Monticello,Virginia
Brouilly,Beaujolais
Sicilia,Sicily & Sardinia
,Colchagua Valley
Monica di Sardegna,Sicily & Sardinia
Bordeaux Blanc,Bordeaux
Sicilia,Sicily & Sardinia
Napa Valley,California
North Coast,California
Sicilia,Sicily & Sardinia
,Maipo Valley
Columbia Valley (WA),Washington
Napa Valley,California
Romagna,Central Italy
Columbia Valley (WA),Washington
Champagne,Champagne
Santa Ynez Valley,California
Chablis,Burgundy
Mâcon-Milly Lamartine,Burgundy
Columbia Valley (WA),Washington
California,California
Champagne,Champagne
Columbia Valley (WA),Washington
Alexander Valley,California
Aglianico del Vulture,Southern Italy
Howell Mountain,California
Calistoga,California
Napa Valley,California
,Rheinhessen
South Australia,South Australia
Eola-Amity Hills,Oregon
,Tejo
,Rapel Valley
Rías Baixas,Galicia
Vin de France,France Other
McLaren Vale,South Australia
Napa Valley,California
,Rheinhessen
Ancient Lakes,Washington
Knights Valley,California
Vernaccia di San Gimignano,Tuscany
Toscana,Tuscany
Sonoma County,California
Sonoma Coast,California
Napa Valley,California
,Burgenland
Columbia Valley (WA),Washington
Juliénas,Beaujolais
Régnié,Beaujolais
Finger Lakes,New York
Morellino di Scansano,Tuscany
Napa Valley,California
Finger Lakes,New York
Finger Lakes,New York
Finger Lakes,New York
,Leyda Valley
Toscana,Tuscany
Toscana,Tuscany
Toscana,Tuscany
Toscana,Tuscany
Santa Clara Valley,California
Toscana,Tuscany
Brouilly,Beaujolais
Yountville,California
Toscana,Tuscany
Toscana,Tuscany
Paso Robles,California
Paso Robles,California
Santa Ynez Valley,California
Central Coast,California
Toscana,Tuscany
Alsace,Alsace
Barolo,Piedmont
Alexander Valley,California
Rockpile,California
Padthaway,South Australia
Napa Valley,California
,Stellenbosch
Alsace,Alsace
Alsace,Alsace
Alsace,Alsace
,Stellenbosch
Barolo,Piedmont
Alsace,Alsace
,Simonsberg-Stellenbosch
Barolo,Piedmont
Napa Valley,California
Barolo,Piedmont
Saint-Émilion,Bordeaux
,Walker Bay
Alsace,Alsace
Alsace,Alsace
Barbera d'Alba,Piedmont
Barolo,Piedmont
Santa Lucia Highlands,California
Alsace,Alsace
Spring Mountain District,California
Santa Lucia Highlands,California
Santa Ynez Valley,California
Santa Ynez Valley,California
,Rheinhessen
Monterey,California
Napa Valley,California
,Alentejano
Carmel Valley,California
Paso Robles,California
Dominio de Valdepusa,Central Spain
Santa Cruz Mountains,California
,Mosel
,Alentejano
Chianti Classico,Tuscany
Brunello di Montalcino,Tuscany
Cahors,Southwest France
Paso Robles,California
Edna Valley,California
Moulin-à-Vent,Beaujolais
,Aconcagua Valley
,Maipo Valley
Madiran,Southwest France
Paso Robles,California
Napa Valley,California
Russian River Valley,California
,Mosel
,Mosel
,Loncomilla Valley
Willamette Valley,Oregon
,Marlborough
Alto Adige,Northeastern Italy
,Maipo Valley
Chianti Classico,Tuscany
Sonoma Valley,California
Chablis,Burgundy
Santa Lucia Highlands,California
Arroyo Seco,California
Brunello di Montalcino,Tuscany
Salta,Other
Sonoma Coast,California
,Colchagua Valley
Anderson Valley,California
Sicilia,Sicily & Sardinia
,Colchagua Valley
,Casablanca Valley
Campania,Southern Italy
Padthaway,South Australia
Rosso del Veronese,Veneto
St.-Romain,Burgundy
Chianti Classico,Tuscany
Vino Nobile di Montepulciano,Tuscany
Vernaccia di San Gimignano,Tuscany
,Western Cape
Napa Valley,California
Nevada County,California
Brunello di Montalcino,Tuscany
Alto Adige,Northeastern Italy
,Judean Hills
,Alentejo
Paso Robles,California
Arroyo Seco,California
Napa Valley,California
Dry Creek Valley,California
,Coastal Region
Côtes du Rhône,Rhône Valley
,Western Cape
Vacqueyras,Rhône Valley
Rueda,Northern Spain
Paso Robles,California
Dry Creek Valley,California
,Galilee
Brunello di Montalcino,Tuscany
,Beira Atlantico
Napa Valley,California
,Tokaj
Sonoma Coast,California
Alto Adige,Northeastern Italy
Brunello di Montalcino,Tuscany
Alto Adige,Northeastern Italy
Luján de Cuyo,Mendoza Province
,Stellenbosch
,Stellenbosch
Finger Lakes,New York
Cayuga Lake,New York
Napa Valley,California
Finger Lakes,New York
Mendoza,Mendoza Province
South Australia,South Australia
Willamette Valley,Oregon
Montepulciano d'Abruzzo,Central Italy
Santa Barbara County,California
Diamond Mountain District,California
San Marino,Central Italy
McLaren Vale,South Australia
Mendocino,California
Vin de Pays des Côtes de Gascogne,Southwest France
Napa Valley,California
Russian River Valley,California
Finger Lakes,New York
Vino de la Tierra de Castilla y León,Northern Spain
San Juan,Other
Adelaide Hills,South Australia
Sonoma Mountain,California
Willamette Valley,Oregon
Monticello,Virginia
Alexander Valley,California
Willamette Valley,Oregon
Amador County,California
Luján de Cuyo,Mendoza Province
St. Helena,California
Cole Ranch,California
,Coastal Region
,Coastal Region
,Stellenbosch
Cahors,Southwest France
Willamette Valley,Oregon
,Mendoza Province
Napa Valley,California
Santa Maria Valley,California
,Stellenbosch
,Stellenbosch
Mendoza,Mendoza Province
Torgiano,Central Italy
Veneto,Veneto
,Leithaberg
Colli Orientali del Friuli,Northeastern Italy
,Santorini
Alto Adige,Northeastern Italy
Uco Valley,Mendoza Province
Monferrato,Piedmont
Mendoza,Mendoza Province
Sonoma County,California
Napa Valley,California
Willamette Valley,Oregon
Alto Adige,Northeastern Italy
,Kremstal
Santa Maria Valley,California
Toscana,Tuscany
Dundee Hills,Oregon
Perdriel,Mendoza Province
,Kremstal
Arroyo Grande Valley,California
Montsant,Catalonia
,Kremstal
Napa Valley,California
Saint-Estèphe,Bordeaux
Sagrantino di Montefalco,Central Italy
Arbois,France Other
Barossa Valley,South Australia
Tupungato,Mendoza Province
Paso Robles,California
,Maipo Valley
Napa Valley,California
,Aconcagua Valley
Langhe,Piedmont
Napa Valley,California
Columbia Valley (WA),Washington
Roero,Piedmont
Barolo,Piedmont
Barbera d'Asti Superiore Nizza,Piedmont
Mendocino County,California
,Recas
Côte de Nuits-Villages,Burgundy
,Santorini
Langhe,Piedmont
Langhe,Piedmont
,Hawke's Bay
Napa Valley,California
Roero,Piedmont
Napa Valley,California
Prosecco di Valdobbiadene,Veneto
Bordeaux Blanc,Bordeaux
Bordeaux Blanc,Bordeaux
,Curicó Valley
Veneto,Veneto
Prosecco di Valdobbiadene,Veneto
Prosecco di Valdobbiadene,Veneto
Prosecco di Valdobbiadene,Veneto
,Colchagua Valley
Prosecco di Conegliano,Veneto
Finger Lakes,New York
Prosecco di Valdobbiadene,Veneto
,Limarí Valley
Knights Valley,California
Mendocino,California
Central Coast,California
,Casablanca Valley
Prosecco di Conegliano,Veneto
Prosecco di Valdobbiadene,Veneto
Champagne,Champagne
Prosecco di Conegliano,Veneto
,Colchagua Costa
Languedoc,Languedoc-Roussillon
Coteaux Varois en Provence,Provence
Cava,Catalonia
Alsace,Alsace
Dry Creek Valley,California
Cava,Catalonia
,Rapel Valley
,Leyda Valley
Rutherglen,Victoria
Rutherglen,Victoria
,Rheingau
Rutherglen,Victoria
Barossa,South Australia
Barolo,Piedmont
,Tokaji
Russian River Valley,California
Montrachet,Burgundy
,Rheingau
Russian River Valley,California
Heathcote,Victoria
Clos de Vougeot,Burgundy
,Rheingau
Chassagne-Montrachet,Burgundy
Barossa Valley,South Australia
Barolo,Piedmont
Diamond Mountain District,California
Criots-Bâtard-Montrachet,Burgundy
Dundee Hills,Oregon
Clare Valley,South Australia
Alto Adige,Northeastern Italy
,Maipo Valley
Bianco di Custoza,Veneto
Friuli,Northeastern Italy
Sonoma Valley,California
Alto Adige,Northeastern Italy
Soave,Veneto
Collio,Northeastern Italy
Mendocino County,California
Toscana,Tuscany
Colli Orientali del Friuli,Northeastern Italy
,Naoussa
,Valle de Guadalupe
Trentino,Northeastern Italy
,Rapel Valley
Bianco di Custoza,Veneto
,Maipo Valley
Valdadige,Veneto
Alto Adige,Northeastern Italy
