title,variety,winery,region_1,province,country
Nicosia 2013 Vulkà Bianco  (Etna),White Blend,Nicosia,Etna,Sicily & Sardinia,Italy
Quinta dos Avidagos 2011 Avidagos Red (Douro),Portuguese Red,Quinta dos Avidagos,,Douro,Portugal
Rainstorm 2013 Pinot Gris (Willamette Valley),Pinot Gris,Rainstorm,Willamette Valley,Oregon,US
St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),Riesling,St. Julian,Lake Michigan Shore,Michigan,US
Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),Pinot Noir,Sweet Cheeks,Willamette Valley,Oregon,US
Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),Tempranillo-Merlot,Tandem,Navarra,Northern Spain,Spain
Terre di Giurfo 2013 Belsito Frappato (Vittoria),Frappato,Terre di Giurfo,Vittoria,Sicily & Sardinia,Italy
Trimbach 2012 Gewurztraminer (Alsace),Gewürztraminer,Trimbach,Alsace,Alsace,France
Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),Gewürztraminer,Heinz Eifel,,Rheinhessen,Germany
Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),Pinot Gris,Jean-Baptiste Adam,Alsace,Alsace,France
Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Kirkland Signature,Napa Valley,California,US
Leon Beyer 2012 Gewurztraminer (Alsace),Gewürztraminer,Leon Beyer,Alsace,Alsace,France
Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Louis M. Martini,Alexander Valley,California,US
Masseria Setteporte 2012 Rosso  (Etna),Nerello Mascalese,Masseria Setteporte,Etna,Sicily & Sardinia,Italy
Mirassou 2012 Chardonnay (Central Coast),Chardonnay,Mirassou,Central Coast,California,US
Richard Böcking 2013 Devon Riesling (Mosel),Riesling,Richard Böcking,,Mosel,Germany
Felix Lavaque 2010 Felix Malbec (Cafayate),Malbec,Felix Lavaque,Cafayate,Other,Argentina
Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza),Malbec,Gaucho Andino,Mendoza,Mendoza Province,Argentina
Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero),Tempranillo Blend,Pradorey,Ribera del Duero,Northern Spain,Spain
Quiévremont 2012 Meritage (Virginia),Meritage,Quiévremont,Virginia,Virginia,US
Quiévremont 2012 Vin de Maison Red (Virginia),Red Blend,Quiévremont,Virginia,Virginia,US
Acrobat 2013 Pinot Noir (Oregon),Pinot Noir,Acrobat,Oregon,Oregon,US
Baglio di Pianetto 2007 Ficiligno White (Sicilia),White Blend,Baglio di Pianetto,Sicilia,Sicily & Sardinia,Italy
Bianchi 2011 Signature Selection Merlot (Paso Robles),Merlot,Bianchi,Paso Robles,California,US
Canicattì 2009 Aynat Nero d'Avola (Sicilia),Nero d'Avola,Canicattì,Sicilia,Sicily & Sardinia,Italy
Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Castello di Amorosa,Sonoma Coast,California,US
Stemmari 2013 Dalila White (Terre Siciliane),White Blend,Stemmari,Terre Siciliane,Sicily & Sardinia,Italy
Stemmari 2013 Nero d'Avola (Terre Siciliane),Nero d'Avola,Stemmari,Terre Siciliane,Sicily & Sardinia,Italy
Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria),Red Blend,Terre di Giurfo,Cerasuolo di Vittoria,Sicily & Sardinia,Italy
Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg),Chenin Blanc,Clarksburg Wine Company,Clarksburg,California,US
